title,genre,actors_list
Rise of the Planet of the Apes,Action,"[u'James Franco', u'Andy Serkis', u'Freida Pinto']"
Batman,Action,"[u'Michael Keaton', u'Jack Nicholson', u'Kim Basinger']"
Ghost Dog: The Way of the Samurai,Action,"[u'Forest Whitaker', u'Henry Silva', u'John Tormey']"
House of Flying Daggers,Action,"[u'Ziyi Zhang', u'Takeshi Kaneshiro', u'Andy Lau']"
Star Trek: First Contact,Action,"[u'Patrick Stewart', u'Jonathan Frakes', u'Brent Spiner']"
Equilibrium,Action,"[u'Christian Bale', u'Sean Bean', u'Emily Watson']"
RoboCop,Action,"[u'Peter Weller', u'Nancy Allen', u""Dan O'Herlihy""]"
Scott Pilgrim vs. the World,Action,"[u'Michael Cera', u'Mary Elizabeth Winstead', u'Kieran Culkin']"
Sherlock Holmes: A Game of Shadows,Action,"[u'Robert Downey Jr.', u'Jude Law', u'Jared Harris']"
X2,Action,"[u'Patrick Stewart', u'Hugh Jackman', u'Halle Berry']"
Open Range,Action,"[u'Kevin Costner', u'Robert Duvall', u'Diego Luna']"
Total Recall,Action,"[u'Arnold Schwarzenegger', u'Sharon Stone', u'Michael Ironside']"
From Russia with Love,Action,"[u'Sean Connery', u'Robert Shaw', u'Lotte Lenya']"
Looper,Action,"[u'Joseph Gordon-Levitt', u'Bruce Willis', u'Emily Blunt']"
Bullitt,Action,"[u'Steve McQueen', u'Jacqueline Bisset', u'Robert Vaughn']"
Running Scared,Action,"[u'Paul Walker', u'Cameron Bright', u'Chazz Palminteri']"
X-Men,Action,"[u'Patrick Stewart', u'Hugh Jackman', u'Ian McKellen']"
La Femme Nikita,Action,"[u'Anne Parillaud', u'Marc Duret', u'Patrick Fontana']"
The Rock,Action,"[u'Sean Connery', u'Nicolas Cage', u'Ed Harris']"
Master and Commander: The Far Side of the World,Action,"[u'Russell Crowe', u'Paul Bettany', u'Billy Boyd']"
